experiment	val_bpb	memory_gb	status	description
baseline	0.686159	0.9	keep	baseline T4 run
exp_01	0.707247	0.9	discard	TOTAL_BATCH_SIZE 2**16
exp_02	0.694466	1.1	discard	DEPTH=6
exp_03	0.694122	0.9	discard	WARMDOWN_RATIO=0.3
exp_04	0.694582	0.9	discard	WARMUP_RATIO=0.1
exp_05	0.686685	0.9	discard	MATRIX_LR=0.02
exp_06	0.693676	0.9	discard	EMBEDDING_LR=0.4
exp_07	0.688853	0.9	discard	WEIGHT_DECAY=0.1
exp_08	0.697313	0.9	discard	TOTAL_BATCH_SIZE 2**15
exp_09	0.696076	0.9	discard	ADAM_BETAS=(0.9,0.95)
exp_10	0.691765	0.9	discard	FINAL_LR_FRAC=0.1
exp_11	0.694391	0.9	discard	WARMDOWN_RATIO=0.4
exp_12	0.70283	1.68	discard	DEPTH=6 (repeat)
exp_13	0.725293	0.85	discard	HEAD_DIM=256
exp_14	0.703778	1.68	discard	DEPTH=6 (repeat)
exp_15	0.697057	0.88	discard	WEIGHT_DECAY=0.1 (repeat)
exp_16	0.698074	0.88	discard	MATRIX_LR=0.02 (repeat)
exp_17	0.703237	0.88	discard	SCALAR_LR=0.7
exp_18	0.0	0.0	crash	TOTAL_BATCH_SIZE 2**12 (assert error)
exp_19	0.704135	0.88	discard	WARMUP_RATIO=0.1 (repeat)
exp_20	0.693976	0.48	discard	DEVICE_BATCH_SIZE=16
exp_21	0.694179	0.48	discard	DEVICE_BATCH_SIZE=16 (repeat)
exp_22	0.699463	0.88	discard	MATRIX_LR=0.06
discarded	0.700185	1.68	discard	Increase model depth from 4 to 6 layers to improve capacity and lower validation bpb.
discarded	0.717670	0.85	discard	Increase model width by doubling the head dimension to boost capacity and potentially lower validation bpb.
discarded	0.692207	0.88	discard	Lower the matrix learning rate to reduce optimization instability and improve validation performance.
734986b	0.665784	1.67	keep	Increase device batch size to better utilize VRAM and improve gradient estimates, potentially lowering validation bpb.
509947c	0.663237	1.67	keep	Reduce weight decay to alleviate over-regularization and potentially improve validation bpb.
discarded	0.760759	5.16	discard	Increase model depth to improve capacity and potentially lower validation bpb.
discarded	0.705611	2.87	discard	Increase model width by doubling ASPECT_RATIO to enhance capacity and potentially lower validation bpb.
discarded	0.663508	1.67	discard	Reduce embedding learning rate to potentially improve optimization stability and lower validation bpb.
discarded	0.697073	1.08	discard	Reduce model width to alleviate optimization difficulty and improve validation bpb.
discarded	0.665640	1.67	discard	Increase warmup ratio to introduce a small learning rate warmup for better optimization stability.
discarded	0.697876	3.11	discard	Increase model depth to improve capacity and potentially lower validation bpb.
discarded	0.705567	2.87	discard	Increase model width by doubling ASPECT_RATIO to boost capacity and potentially lower validation bpb.
discarded	0.671245	1.6	discard	Increase head dimension to boost model capacity per head, potentially improving validation bpb.
discarded	0.666346	1.67	discard	Increase Adam beta1 and beta2 to more standard values for better optimizer stability.
discarded	0.697239	1.08	discard	Reduce model width to alleviate overfitting and improve validation bpb.
discarded	0.736924	0.81	discard	Reduce model depth to alleviate overfitting and improve validation bpb.
